,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,absolute_agg_pol,net_polarization,homophily,homophily_binned,network_polarity,satisfaction,activity,user_preference,met_stance_sim,met_modularity,met_comm_var,met_edge_rat,stat_pub1,stat_pub2,stat_top1,stat_top2,stat_top3,stat_top4,stat_top5,stat_top6
0,6,0.512741,102,54,46,10,44,0.423716,0.3998275636004931,-0.021517359622803284,-0.008330315103223497,0.002759,-0.006339363398058251,0.2841992640368613,0.2765947240035938,0.529409999442244,0.5241192182871782,0.16337559679180788,0.3972222222222222,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[1, 1]","[0.5860000000000001, 1.9721095166666665]"
1,5,0.533574,101,56,44,10,46,0.424315,0.40054812367086023,-0.021517359622803284,-0.0006730984967467958,0.002369,-0.004052913589921405,0.28001401635044093,0.2777775091058601,0.528875317120335,0.5234158394553027,0.16385634016146186,0.41944444444444445,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.6040000000000001, -1.7869927660714287]","[0.0, 1.0]"
2,4,0.521182,102,57,43,10,47,0.424858,0.4010383197492916,-0.021517359622803284,-0.0006730984967467958,0.001884,-0.010073115782478041,0.2848649157568024,0.27653793843451147,0.5283429097129276,0.5228186707632645,0.16430109068724139,0.41944444444444445,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.6411903137410688]","[1.0, 0.6411903137410688]","[1.0, 0.6411903137410688]","[0.6130000000000001, 1.7728320629530543]","[0.6040000000000001, 0.0]","[0.0, 1.0]"
3,3,-0.211017,101,52,48,10,42,0.424528,0.4006306841622167,-0.021517359622803284,-0.0006730984967467958,0.002004,-0.006053687627138237,0.28897365973162187,0.2788682612500455,0.528723728854069,0.5230963845347488,0.16396916908725617,0.41944444444444445,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.3616757205265234]","[1.0, 0.3616757205265234]","[0.5680000000000001, -0.6116676414088862]","[0.6130000000000001, 1.0]","[0.6040000000000001, 0.0]","[0.0, 0.5640692205973943]"
4,4,-0.438588,101,53,47,10,43,0.424025,0.39996033314381735,-0.021517359622803284,-0.0031069684864627146,0.002344,-0.009769622474572356,0.2936655354597772,0.27844002557043385,0.5290115917072276,0.5235606807331818,0.16358360050899254,0.4111111111111111,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.6039355366622198]","[1.0, 0.6039355366622198]","[0.5680000000000001, 0.0]","[0.5383, 1.6395806528301895]","[0.6040000000000001, 0.3795246772307094]","[0.0, 0.7295157089450998]"
5,3,-0.39695,102,62,38,10,52,0.423624,0.39945727685286725,-0.021517359622803284,-0.008330315103223497,0.002493,-0.013616238493989831,0.2967735559972641,0.27821306679916097,0.5291875469930328,0.5239267869504166,0.16326034560223188,0.3972222222222222,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.3683475622987661]","[1.0, 0.3683475622987661]","[0.6148, 1.2263983258064515]","[0.5383, 1.0]","[0.6040000000000001, 0.231476674584801]","[0.0, 0.4449404228366772]"
6,2,0.183239,100,53,47,10,43,0.424256,0.400179915821261,-0.025289091720138643,-0.008330315103223497,0.0024,-0.01328201640661119,0.29704806958949714,0.2785705481098406,0.5284001007438952,0.5232663115020245,0.16370790275856284,0.3972222222222222,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.13756951368572914]","[0.5770000000000001, 0.7276749381610257]","[0.6148, 1.0]","[0.5383, 0.7724460760016026]","[0.6040000000000001, 0.0]","[0.0, 0.21455332486710588]"
7,3,0.775867,102,52,48,10,42,0.424735,0.40050671320688197,-0.025289091720138643,-0.008330315103223497,0.002562,-0.010808582684928344,0.28999091230794377,0.2785705481098406,0.5280991748179692,0.5227550728879292,0.16399710127719772,0.3972222222222222,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.13756951368572914]","[0.5770000000000001, 0.7276749381610257]","[0.5294800000000001, -2.6501790846153854]","[0.5383, 0.7724460760016026]","[0.6040000000000001, 0.0]","[0.0, 0.21455332486710588]"
8,5,0.424235,101,56,44,10,46,0.425322,0.40120686312340637,-0.025289091720138643,-0.0031069684864627146,0.002192,-0.009009878868469722,0.28510214796480887,0.2792161607450694,0.5275877222666886,0.5220756236138911,0.16446473387012464,0.4111111111111111,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.8145059617917885]","[0.5770000000000001, 0.9869190648290255]","[0.5294800000000001, 0.0]","[0.5383, 1.0]","[0.5644000000000001, -1.3734420082405299]","[0.0, 0.8369985829725138]"
9,4,-0.639814,102,57,43,10,47,0.424596,0.40055326835216454,-0.025289091720138643,-0.008330315103223497,0.002677,-0.0014487217810910805,0.2828088547609254,0.2808178384273224,0.5283516111555774,0.5228712050043421,0.16385858991938546,0.3972222222222222,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.9218459783031644]","[0.5770000000000001, 0.9944886223781505]","[0.5294800000000001, 0.5786709780445338]","[0.5668300000000002, -2.001667684210526]","[0.5644000000000001, 0.0]","[0.0, 0.9313227723864541]"
10,6,-0.532234,101,79,21,13,66,0.423661,0.39949117684889657,-0.014347941628441677,0.0043794012658802135,0.002758,-0.0023257321206867623,0.28211049422628154,0.27887130095159424,0.5494722649337045,0.5080514745732853,0.17934058739557654,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.9757547215025993]","[0.5770000000000001, 1.0]",0,"[0.5668300000000002, 0.0]","[0.5644000000000001, 0.6680785244110171]","[0.7110000000000001, 2.0364161249680923]"
11,6,0.482396,102,69,31,11,57,0.423911,0.3997792995076468,-0.014347941628441677,0.0043794012658802135,0.002635,-0.015036776619068642,0.285588046653466,0.27598257607295346,0.5493427145821175,0.5077091123674486,0.17958652488002733,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.47915291454387204]","[0.028925619834710623, 0.491058771210461]",0,"[0.005578512396694315, 0.0]","[0.0, 0.32806581926937206]","[0.6546547291092747, 1.7452225130434782]"
12,2,0.61526,101,62,38,10,52,0.424608,0.4005962929716991,-0.01305255950907757,0.0043794012658802135,0.002797,-0.025113702463959997,0.2828752388864757,0.2750117022865457,0.5486509508162755,0.5068613827848178,0.18025860985981287,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 0.9757547215025996]","[0.5608925619834711, 2.5089814870967744]",0,"[0.005578512396694315, 0.0]","[0.0, 0.6680785244110172]",0
13,1,-0.421888,100,73,27,12,61,0.424111,0.4000243975468625,-0.014159779741905295,0.0043794012658802135,0.002877,-0.023876250318791252,0.2827915767505534,0.276026287238002,0.549278920945264,0.5074300585534935,0.17986421628445434,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[0.757, 1.3962413259486812]","[0.5608925619834711, 1.0]",0,"[0.005578512396694315, 0.0]","[0.0, 0.26627479231984014]",0
14,2,-0.606267,101,62,38,10,52,0.423414,0.3992074040828102,-0.01545551075362094,0.0043794012658802135,0.002716,-0.013716536436837172,0.28613790587676696,0.27699716102440974,0.5499706847111058,0.5082777881361243,0.17919349514737876,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[1.0, 1.0]","[0.6320941297204058, -2.346154283568428]",0,"[0.007369236983744142, 0.0]","[0.0, 0.19070828757981273]",0
15,1,0.422198,100,73,27,12,61,0.423911,0.3997792995076468,-0.014347941628441677,0.0043794012658802135,0.002635,-0.014989056039241238,0.2859342107311359,0.27569138861340653,0.5493427145821175,0.5077091123674486,0.17958652488002733,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[0.757, 1.4402063109589043]","[0.6320941297204058, 0.0]",0,"[0.007369236983744142, 0.7011494643535763]","[0.0, 0.7581427382490156]",0
16,1,0.552738,101,65,35,10,54,0.424698,0.4005962929716991,-0.016065407178160646,0.0043794012658802135,0.002473,-0.020148932772944435,0.2854386680126893,0.2750503321409146,0.5484601619684039,0.5067014200597563,0.18025853832102967,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]","[0.685, 1.9484562630769233]",0,0,"[0.00973479125989979, 0.0]","[0.0, 0.07711622476298485]",0
17,5,-0.341048,100,75,25,11,63,0.424187,0.40013505701737295,-0.017174248800022184,0.0043794012658802135,0.002282,-0.021553768263004536,0.2865565275056536,0.27461375429414814,0.5492170989022697,0.5073135235678568,0.17987699741703816,0.35845213849287166,"[0.8945670000000001, 1.086332276957586]","[0.8083431600000002, 1.5186589372666404]",0,0,0,0,"[0.675, 1.146004408]",0
